Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Sigma Finer,Best Variance Explained Coarse,Best Variance Explained Finer
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.5237464126275508,0.5947723283383897,[0.26014715]
6747,3618,0.6897959183673469,0.8853503667091844,0.5947723283383897,0.08691700490293996
6747,3618,0.6897959183673469,0.8853503667091844,0.5947723283383897,0.3773005171822491
6747,3618,0.6897959183673469,0.8853503667091844,0.5947723283383897,0.3773005171822491
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614
